evalue,average_sensitivity,average_precision
0.5,0.2510721963917682,0.1767120852004526
0.05,0.24330656630456055,0.17704447171984966
0.005,0.23429501306608028,0.1769599941830492
0.0005,0.22685430731982514,0.17754199148229888
5e-05,0.22031402771827735,0.1782558602696524
5.000000000000001e-06,0.2146151821139909,0.1791222582501951
5.000000000000001e-07,0.20874701296676548,0.17947080780077806
5.000000000000001e-08,0.20354406810342096,0.17952409148682302
5.000000000000002e-09,0.19878072594992938,0.18019071259686764
5.000000000000001e-10,0.193602070650616,0.18024729735222578
5.0000000000000015e-11,0.188978787288841,0.1804917745713498
5.0000000000000005e-12,0.1847419856691491,0.18072481960122272
5.000000000000001e-13,0.18099540376293388,0.1812069971808807
5.000000000000001e-14,0.17745860388918225,0.18219966302114346
5.000000000000001e-15,0.17401088015127156,0.1828962112191891
5e-16,0.17084227538834554,0.18350995365012507
5.0000000000000005e-17,0.16692747012945722,0.1842214869783166
5e-18,0.16415268997197635,0.18463370259109782
5e-19,0.16128535106014952,0.18457941520102564
5.0000000000000005e-20,0.15812354825605449,0.18463890993165755
5.0000000000000005e-21,0.15501029799916582,0.18453635963890552
5.0000000000000005e-22,0.15229970878189453,0.18502509708973267
5e-23,0.1496523237803685,0.18523153629238948
5.0000000000000005e-24,0.14698419559286477,0.18578352880327503
5.0000000000000005e-25,0.14470983902137727,0.18588432958215392
5.000000000000001e-26,0.14204539929776794,0.18536240081251731
5.000000000000001e-27,0.1401865008128862,0.18498245480107336
5.000000000000001e-28,0.13825692331706324,0.1856055251551667
5.000000000000001e-29,0.13646749542542574,0.1860444276808057
5.000000000000001e-30,0.1345804208762728,0.1854563744390001
5.000000000000001e-31,0.13194756211144318,0.1844291093350683
5.000000000000002e-32,0.12995913695387745,0.1839412343942616
5.000000000000002e-33,0.12772168497357173,0.1840454359944527
5.000000000000002e-34,0.12633216769014827,0.18430643557527318
5.000000000000002e-35,0.12457727951614965,0.1837606985863471
5.000000000000002e-36,0.12296965981768354,0.18351228718135146
5.000000000000002e-37,0.12088507573232264,0.18462045539000257
5.000000000000002e-38,0.11866064106534342,0.1849832660129037
5.0000000000000024e-39,0.11747997250564782,0.185158843579049
5.000000000000002e-40,0.11475531609244931,0.18478379604507641
